BEARING MARK,M,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,M10,Check,M Is greater than 0,Checks,,,,
B81-P14-BER-21,-20,470,570,37.1,56.73,39.63,20,56.73,60,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-16,-20,470,570,34.25,56.73,42.48,20,56.73,60,YES,FALSE,FALSE,TRUE,,,,
B81-P14-BER-22,-20,470,570,37.1,56.79,39.69,20,56.79,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-15,20,470,570,39.46,20,37.39,56.85,56.85,60,YES,TRUE,TRUE,TRUE,,,,
B81-P33-BER-09,20,470,570,42.79,20,34.25,57.04,57.04,60,YES,TRUE,TRUE,TRUE,,,,
B81-P14-BER-23,-20,470,570,37.1,57.22,40.12,20,57.22,60,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-17,-20,470,570,34.25,57.41,43.16,20,57.41,60,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-01,-20,470,570,57.65,35.11,20,42.54,57.65,60,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-02,-20,470,570,57.81,35.11,20,42.71,57.81,60,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-01,20,470,570,42.68,20,35.39,58.07,58.07,60,YES,TRUE,TRUE,TRUE,,,,
B81-P11-BER-18,-20,470,570,34.25,58.1,43.85,20,58.1,60,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-03,-20,470,570,58.36,35.11,20,43.26,58.36,60,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-04,-20,470,570,58.9,35.11,20,43.79,58.9,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-12,-20,470,570,37.1,59.03,41.93,20,59.03,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-12,-20,470,570,37.1,59.04,41.94,20,59.04,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-13,-20,470,570,37.1,59.1,42,20,59.1,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-13,-20,470,570,37.1,59.12,42.02,20,59.12,60,YES,FALSE,FALSE,TRUE,,,,
B81-P11-BER-19,-20,470,570,34.25,59.16,44.91,20,59.16,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-14,-20,470,570,37.1,59.18,42.08,20,59.18,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-14,-20,470,570,37.1,59.18,42.08,20,59.18,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-15,-20,470,570,37.1,59.26,42.16,20,59.26,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-15,-20,470,570,37.1,59.26,42.16,20,59.26,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-16,-20,470,570,37.1,59.31,42.21,20,59.31,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-16,-20,470,570,37.1,59.31,42.21,20,59.31,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-11,-20,470,570,37.1,59.32,42.22,20,59.32,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-11,-20,470,570,37.1,59.35,42.25,20,59.35,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-17,-20,470,570,37.1,59.38,42.28,20,59.38,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-17,-20,470,570,37.1,59.38,42.28,20,59.38,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-18,-20,470,570,37.1,59.43,42.33,20,59.43,60,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-05,-20,470,570,59.45,35.11,20,44.34,59.45,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-18,-20,470,570,37.1,59.46,42.36,20,59.46,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-19,-20,470,570,37.1,59.51,42.41,20,59.51,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-19,-20,470,570,37.1,59.52,42.42,20,59.52,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-12,-20,470,570,59.78,37.1,20,42.68,59.78,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-11,-20,470,570,59.83,37.1,20,42.73,59.83,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-10,-20,470,570,59.9,37.1,20,42.8,59.9,60,YES,FALSE,FALSE,TRUE,,,,
B81-P12-BER-20,-20,470,570,37.1,59.94,42.84,20,59.94,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-13,-20,470,570,59.95,37.1,20,42.85,59.95,60,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-20,-20,470,570,37.1,59.99,42.89,20,59.99,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-08,20,470,570,42.9,20,37.1,60,60,60,YES,TRUE,TRUE,TRUE,,,,
B81-P30-BER-06,-20,470,570,60,35.11,20,44.89,60,60,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-07,20,470,570,43,20,37.1,60.1,60.1,65,YES,TRUE,TRUE,TRUE,,,,
B81-P33-BER-06,20,470,570,43.12,20,37.1,60.22,60.22,65,YES,TRUE,TRUE,TRUE,,,,
B81-P33-BER-05,20,470,570,43.24,20,37.1,60.34,60.34,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-26,-20,470,570,60.35,37.1,20,43.25,60.35,65,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-04,20,470,570,43.36,20,37.1,60.46,60.46,65,YES,TRUE,TRUE,TRUE,,,,
B81-P30-BER-07,-20,470,570,60.55,35.11,20,45.44,60.55,65,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-03,20,470,570,43.47,20,37.1,60.57,60.57,65,YES,TRUE,TRUE,TRUE,,,,
B81-P33-BER-02,20,470,570,43.59,20,37.1,60.69,60.69,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-25,-20,470,570,60.7,37.1,20,43.6,60.7,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-24,-20,470,570,60.72,37.1,20,43.62,60.72,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-23,-20,470,570,60.73,37.1,20,43.63,60.73,65,YES,FALSE,FALSE,TRUE,,,,
B81-P33-BER-01,20,470,570,43.97,20,37.1,61.07,61.07,65,YES,TRUE,TRUE,TRUE,,,,
B81-P30-BER-08,-20,470,570,61.08,35.11,20,45.98,61.08,65,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-09,-20,470,570,61.63,35.11,20,46.53,61.63,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-12,-20,470,570,63.13,37.39,20,45.74,63.13,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-11,-20,470,570,63.24,37.39,20,45.85,63.24,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-13,-20,470,570,63.33,37.39,20,45.94,63.33,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-10,-20,470,570,63.36,37.39,20,45.98,63.36,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-09,20,470,570,46.11,20,37.39,63.49,63.49,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-08,20,470,570,46.23,20,37.39,63.62,63.62,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-07,20,470,570,46.35,20,37.39,63.73,63.73,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-06,20,470,570,46.42,20,37.39,63.81,63.81,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-05,20,470,570,46.44,20,37.39,63.82,63.82,65,YES,TRUE,TRUE,TRUE,,,,
B81-P30-BER-10,-20,470,570,63.83,37.1,20,46.73,63.83,65,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-11,-20,470,570,63.83,37.1,20,46.73,63.83,65,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-12,-20,470,570,63.83,37.1,20,46.73,63.83,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-04,20,470,570,46.49,20,37.39,63.88,63.88,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-03,20,470,570,46.62,20,37.39,64,64,65,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-02,20,470,570,46.77,20,37.39,64.15,64.15,65,YES,TRUE,TRUE,TRUE,,,,
B81-P30-BER-13,-20,470,570,64.19,37.1,20,47.09,64.19,65,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-01,20,470,570,47.24,20,37.1,64.34,64.34,65,YES,TRUE,TRUE,TRUE,,,,
B81-P31-BER-12,-20,470,570,67.82,37.1,20,50.72,67.82,70,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-11,-20,470,570,67.84,37.1,20,50.74,67.84,70,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-10,-20,470,570,67.86,37.1,20,50.76,67.86,70,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-13,-20,470,570,68.18,37.1,20,51.08,68.18,70,YES,FALSE,FALSE,TRUE,,,,
