BEARING MARK,M,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,M10,Check,M Is greater than 0,Checks,,,,
B81-P07-BER-08,20,470,570,25.41,20,37.1,42.51,42.51,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-07,20,470,570,25.43,20,37.1,42.53,42.53,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-06,20,470,570,25.44,20,37.1,42.54,42.54,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-05,20,470,570,25.46,20,37.1,42.56,42.56,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-13,20,470,570,25.64,20,37.1,42.74,42.74,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-10,20,470,570,25.66,20,37.1,42.76,42.76,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-17,20,470,570,25.68,20,37.1,42.78,42.78,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-12,20,470,570,25.7,20,37.1,42.8,42.8,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-14,20,470,570,25.7,20,37.1,42.8,42.8,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-16,20,470,570,25.7,20,37.1,42.8,42.8,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-09,20,470,570,25.73,20,37.1,42.83,42.83,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-15,20,470,570,25.74,20,37.1,42.84,42.84,45,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-17,20,470,570,37.15,20,25.7,42.85,42.85,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-11,20,470,570,25.75,20,37.1,42.85,42.85,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-04,20,470,570,25.89,20,37.1,42.99,42.99,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-03,20,470,570,25.93,20,37.1,43.03,43.03,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-02,20,470,570,25.96,20,37.1,43.06,43.06,45,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-13,20,470,570,20,36.31,43.43,27.13,43.43,45,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-07,20,470,570,35.37,20,28.12,43.49,43.49,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-01,20,470,570,26.44,20,37.1,43.54,43.54,45,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-18,20,470,570,38.34,20,25.7,44.04,44.04,45,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-14,20,470,570,20,37.16,44.28,27.13,44.28,45,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-15,20,470,570,20,38.27,44.54,26.27,44.54,45,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-05,20,470,700,32.29,20,32.95,45.24,45.24,50,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-19,20,470,570,39.57,20,25.7,45.27,45.27,50,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-16,20,470,570,20,39.38,45.65,26.27,45.65,50,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-01,-20,470,570,34.25,46,31.75,20,46,50,YES,FALSE,FALSE,TRUE,,,,
B81-P35-BER-11,-20,470,700,46.01,41,20,25.01,46.01,50,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-22,20,470,570,43.17,20,22.85,46.02,46.02,50,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-11,20,470,570,20,28.95,46.05,37.1,46.05,50,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-12,20,470,570,20,28.95,46.05,37.1,46.05,50,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-13,20,470,570,20,28.95,46.05,37.1,46.05,50,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-17,20,470,570,20,40.51,46.21,25.7,46.21,50,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-06,20,470,570,36.92,20,29.33,46.26,46.26,50,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-10,20,470,570,20,29.29,46.39,37.1,46.39,50,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-20,20,470,570,40.76,20,25.7,46.46,46.46,50,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-14,-20,470,570,46.48,37.1,20,29.38,46.48,50,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-01,20,470,570,41.06,20,25.7,46.76,46.76,50,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-13,-20,470,570,46.81,37.1,20,29.71,46.81,50,YES,FALSE,FALSE,TRUE,,,,
B81-P09-BER-15,20,470,570,20,29.84,46.94,37.1,46.94,50,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-12,-20,470,570,46.96,37.1,20,29.86,46.96,50,YES,FALSE,FALSE,TRUE,,,,
B81-P09-BER-14,20,470,570,20,29.86,46.96,37.1,46.96,50,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-16,20,470,570,20,29.86,46.96,37.1,46.96,50,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-17,20,470,570,20,29.86,46.96,37.1,46.96,50,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-10,-20,470,700,46.97,41,20,25.97,46.97,50,YES,FALSE,FALSE,TRUE,,,,
B81-P35-BER-12,-20,470,700,46.98,41,20,25.98,46.98,50,YES,FALSE,FALSE,TRUE,,,,
B81-P10-BER-02,-20,470,570,34.25,47.04,32.79,20,47.04,50,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-11,-20,470,570,47.14,37.1,20,30.04,47.14,50,YES,FALSE,FALSE,TRUE,,,,
B81-P09-BER-18,20,470,570,20,30.21,47.31,37.1,47.31,50,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-13,-20,470,700,47.42,41,20,26.42,47.42,50,YES,FALSE,FALSE,TRUE,,,,
B81-P35-BER-14,-20,470,700,47.56,41,20,26.56,47.56,50,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-02,20,470,570,41.91,20,25.7,47.61,47.61,50,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-21,20,470,570,41.98,20,25.7,47.68,47.68,50,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-03,-20,470,570,34.25,47.74,33.49,20,47.74,50,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-10,-20,470,570,47.91,37.1,20,30.81,47.91,50,YES,FALSE,FALSE,TRUE,,,,
B81-P10-BER-18,20,470,570,20,41.95,48.22,26.27,48.22,50,YES,TRUE,TRUE,TRUE,,,,
B81-P30-BER-26,-20,470,570,48.27,37.1,20,31.17,48.27,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-14,-20,470,570,48.33,37.1,20,31.23,48.33,50,YES,FALSE,FALSE,TRUE,,,,
B81-P10-BER-04,-20,470,570,34.25,48.42,34.17,20,48.42,50,YES,FALSE,FALSE,TRUE,,,,
B81-P35-BER-04,20,470,700,34.13,20,34.44,48.57,48.57,50,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-05,-20,470,570,34.25,48.59,34.34,20,48.59,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-16,-20,470,570,48.62,37.1,20,31.52,48.62,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-15,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-17,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-18,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-19,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-20,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-21,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-22,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-23,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-24,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P30-BER-25,-20,470,570,48.63,37.1,20,31.53,48.63,50,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-01,-20,470,570,37.1,48.7,31.6,20,48.7,50,YES,FALSE,FALSE,TRUE,,,,
B81-P31-BER-03,20,470,570,43.1,20,25.7,48.8,48.8,50,YES,TRUE,TRUE,TRUE,,,,
B81-P13-BER-10,-20,470,570,37.1,49.04,31.94,20,49.04,50,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-02,-20,470,570,37.1,49.09,31.99,20,49.09,50,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-03,-20,470,570,37.1,49.13,32.03,20,49.13,50,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-04,-20,470,570,37.1,49.17,32.07,20,49.17,50,YES,FALSE,FALSE,TRUE,,,,
B81-P34-BER-05,20,470,570,38.66,20,30.55,49.2,49.2,50,YES,TRUE,TRUE,TRUE,,,,
B81-P13-BER-05,-20,470,570,37.1,49.21,32.11,20,49.21,50,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-06,-20,470,570,37.1,49.24,32.14,20,49.24,50,YES,FALSE,FALSE,TRUE,,,,
B81-P10-BER-06,-20,470,570,34.25,49.25,35,20,49.25,50,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-07,-20,470,570,37.1,49.28,32.18,20,49.28,50,YES,FALSE,FALSE,TRUE,,,,
B81-P13-BER-08,-20,470,570,37.1,49.32,32.22,20,49.32,50,YES,FALSE,FALSE,TRUE,,,,
